source_file,material_name,material_abbreviation,section,property_name,value,unit,english,test_condition,comments,source_file_excel
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Thermal Properties,"Glass Transition Temp, Tg",136,Â°C,277 Â°F,,1.5 hrs at 125Â°C cure cycle,combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Thermal Properties,"Glass Transition Temp, Tg",155,Â°C,311 Â°F,,"Peak tan d, 1.5 hrs at 125Â°C cure cycle",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Processing Properties,Processing Temperature,124,Â°C,255 Â°F,,Standard Cure. Associated time: 5400 sec (1.50 hour).,combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Processing Properties,Gel Time,12,min,12.0 min,@Temperature 121 Â°C,English conversion of test condition is @Temperature 250 Â°F.,combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Processing Properties,Shelf Life,12,Month,12.0 Month,,,combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Physical Properties,Density,1.23,g/cc,0.0444 lb/inÂ³,,Cured Resin,combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Physical Properties,Storage Temperature,<= -18.0,Â°C,<= -0.400 Â°F,,,combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Tensile Strength,779,MPa,113000 psi,,"0Â°, Actual 53.5% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Tensile Strength,841,MPa,122000 psi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Tensile Modulus,57,GPa,8270 ksi,,"0Â°, Actual 53.5% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Tensile Modulus,62,GPa,8990 ksi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Flexural Strength,958,MPa,139000 psi,,"0Â°, Actual 53.5% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Flexural Strength,1040,MPa,151000 psi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Flexural Modulus,53,GPa,7690 ksi,,"0Â°, Actual 53.5% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Flexural Modulus,57,GPa,8270 ksi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Compressive Strength,665,MPa,96500 psi,,"0Â°, Actual 53.5% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Compressive Strength,723,MPa,105000 psi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Compressive Modulus,93,GPa,13500 ksi,,"0Â°, Actual 53.5% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Compressive Modulus,101,GPa,14600 ksi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Poissons Ratio,0.13,,0.13,,"0Â°, Actual 53.5% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Poissons Ratio,0.91,,0.91,,"Â±45Â°, Actual 53.5% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Shear Modulus,4,GPa,580 ksi,,"In Plane Â±45, Actual 53.5% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Mechanical Properties,Shear Strength,97.9,MPa,14200 psi,,"In Plane Â±45, Actual 53.5% VF",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Thermal Properties,"Glass Transition Temp, Tg",136,Â°C,277 Â°F,,1.5 hrs at 125Â°C cure cycle,combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Thermal Properties,"Glass Transition Temp, Tg",155,Â°C,311 Â°F,,"Peak tan d, 1.5 hrs at 125Â°C cure cycle",combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Processing Properties,Processing Temperature,124,Â°C,255 Â°F,,Standard Cure,combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Processing Properties,Processing Time,5400,sec,1.50 hour,@Time,,combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Processing Properties,Gel Time,12,min,12.0 min,,,combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Processing Properties,Gel Time,12,min,12.0 min,@Temperature 121 Â°C @Temperature 250 Â°F,,combined_material_data_1.xlsx
MaterialData_233616.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 40%-12KT700-2X2T-285 Reinforced Prepreg,Epoxy + 40% Carbon fiber,Processing Properties,Shelf Life,12,Month,12.0 Month,,,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Physical Properties,Moisture Absorption at Equilibrium,0.22,%,0.0022,,"0 to 60% RH, 60Â°C, (1.5mm 0Â°Â±60Â°C M55J reinforcement)",combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Physical Properties,Storage Temperature,-18,Â°C,-0.400 Â°F,,LTMÂ® 123,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Flexural Strength,899.1,MPa,130400 psi,@Temperature 177 Â°C,0/90Â°; CRAG 200,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Flexural Strength,994.9,MPa,144300 psi,@Temperature 24.0 Â°C,0/90Â°; CRAG 200,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Flexural Modulus,56,GPa,8120 ksi,@Temperature 24.0 Â°C,0/90Â°; CRAG 200,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Flexural Modulus,57,GPa,8270 ksi,@Temperature 177 Â°C,0/90Â°; CRAG 200,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Compressive Strength,143,MPa,20700 psi,,Quasi-Isotropic after 6.7 J/mm Impact; SACMA SRM 2R-94,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Compressive Strength,533,MPa,77300 psi,@Temperature 177 Â°C,0/90Â°; ASTM D3410,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Shear Strength,46.9,MPa,6800 psi,@Temperature 177 Â°C,0/90Â° Interlaminar; ASTM D2344,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Shear Strength,75.2,MPa,10900 psi,@Temperature 24.0 Â°C,0/90Â° Interlaminar; ASTM D2344,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Thermal Properties,"CTE, linear",-0.04,Âµm/m-Â°C,-0.567 - -0.544 Âµin/in-Â°F,@Temperature 20.0 - 80.0 Â°C,0Â°; M55J reinforcement,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Processing Properties,Cure Time,180,min,3.00 hour,@Temperature 200 Â°C,Post-cure As Tested,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Processing Properties,Cure Time,960,min,16.0 hour,"@Pressure 0.621 MPa, Temperature 80.0 Â°C",As Tested,combined_material_data_1.xlsx
MaterialData_240087.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF0300 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Processing Properties,Shelf Life,6,Month,6.00 Month,@Temperature -18.0 Â°C,LTMÂ® 123,combined_material_data_1.xlsx
MaterialData_240089.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF1218 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Physical Properties,Moisture Absorption at Equilibrium,0.22,%,0.0022,,"0 to 60% RH, 60Â°C, (1.5mm 0Â°Â±60Â°C M55J reinforcement)",combined_material_data_1.xlsx
MaterialData_240089.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF1218 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Physical Properties,Storage Temperature,-18,Â°C,-0.400 Â°F,,LTMÂ® 123,combined_material_data_1.xlsx
MaterialData_240089.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF1218 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Compressive Strength,602,MPa,87300 psi,@Temperature 200 Â°C,0/90Â°; ASTM D3410,combined_material_data_1.xlsx
MaterialData_240089.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF1218 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Compressive Strength,864,MPa,125000 psi,@Temperature 24.0 Â°C,0/90Â°; ASTM D3410,combined_material_data_1.xlsx
MaterialData_240089.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF1218 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Shear Strength,37.2,MPa,5400 psi,@Temperature 200 Â°C,0/90Â° Interlaminar; ASTM D2344,combined_material_data_1.xlsx
MaterialData_240089.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF1218 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Mechanical Properties,Shear Strength,62.7,MPa,9100 psi,@Temperature 24.0 Â°C,0/90Â° Interlaminar; ASTM D2344,combined_material_data_1.xlsx
MaterialData_240089.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF1218 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Thermal Properties,"CTE, linear",-0.04,Âµm/m-Â°C,-0.567 - -0.544 Âµin/in-Â°F,@Temperature 20.0 - 80.0 Â°C,0Â°; M55J reinforcement,combined_material_data_1.xlsx
MaterialData_240089.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF1218 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Processing Properties,Cure Time,180,min,3.00 hour,@Temperature 200 Â°C,Post-cure As Tested,combined_material_data_1.xlsx
MaterialData_240089.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF1218 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Processing Properties,Cure Time,960,min,16.0 hour,"@Pressure 0.621 MPa, Temperature 80.0 Â°C",As Tested,combined_material_data_1.xlsx
MaterialData_240089.pdf,Solvay LTMÂ® 123 Cyanate Ester Prepreg with CF1218 Carbon Fabric,Cynate Ester + 55% Carbon Fiber,Processing Properties,Shelf Life,6,Month,6.00 Month,@Temperature -18.0 Â°C,LTMÂ® 123,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Physical Properties,Density,1.52,g/cc,0.0549 lb/inÂ³,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Physical Properties,Filler Content,43,%,0.43,,Fiber Volume,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Mechanical Properties,Tensile Strength,400,MPa,58000 psi,,ISO 527-4,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Mechanical Properties,Tensile Modulus,44,GPa,6380 ksi,,ISO 527-4,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Mechanical Properties,Flexural Strength,600,MPa,87000 psi,,ISO 14125,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Mechanical Properties,Flexural Modulus,42,GPa,6090 ksi,,ISO 14125,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Mechanical Properties,Compressive Strength,200,MPa,29000 psi,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Mechanical Properties,Shear Strength,41,MPa,5950 psi,,interlaminar; ISO 14130,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Thermal Properties,"CTE, linear",5,Âµm/m-Â°C,2.78 Âµin/in-Â°F,in 0Â° and 90Â° direction,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Thermal Properties,"Maximum Service Temperature, Air",120,Â°C,248 Â°F,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Thermal Properties,"Glass Transition Temp, Tg",143,Â°C,289 Â°F,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Processing Properties,Drying Temperature,120,Â°C,248 Â°F,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Processing Properties,Dry Time,3,hour,3.00 hour,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Descriptive Properties,Areal weight finished product,445,g/mÂ²,,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Descriptive Properties,Color,natural,,,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Descriptive Properties,Fiber architecture,Twill 2/2,,,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Descriptive Properties,Fiber areal weight,245,g/mÂ²,,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Descriptive Properties,Fiber type,Carbon HT 3k,,,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Descriptive Properties,Material widths,"1000, 1270",mm,,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Descriptive Properties,ply thickness (consolidated),0.25,mm,,,,combined_material_data_1.xlsx
MaterialData_287724.pdf,"Ensinger TECATEC PC CF45 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Descriptive Properties,Resin weight content,0.449,,,,,combined_material_data_1.xlsx
MaterialData_287725.pdf,"Ensinger TECATEC PC CF50 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Physical Properties,Density,1.52,g/cc,0.0549 lb/inÂ³,,,combined_material_data_1.xlsx
MaterialData_287725.pdf,"Ensinger TECATEC PC CF50 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Physical Properties,Filler Content,50,%,0.5,,Fiber Volume,combined_material_data_1.xlsx
MaterialData_287725.pdf,"Ensinger TECATEC PC CF50 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Mechanical Properties,Tensile Strength,440,MPa,63800 psi,,ISO 527-4,combined_material_data_1.xlsx
MaterialData_287725.pdf,"Ensinger TECATEC PC CF50 CP/IP/OS S0001 natural Polycarbonate, Carbon Fiber Reinforced",PC + 45% Carbon Fiber,Mechanical Properties,Tensile Modulus,48,GPa,6960 ksi,,ISO 527-4,combined_material_data_1.xlsx
